Date,TSLA
6/10/2017,23.79199982
9/10/2017,22.86266708
10/10/2017,23.70599937
11/10/2017,23.63999939
12/10/2017,23.71199989
13/10/2017,23.70466614
16/10/2017,23.37333298
17/10/2017,23.71666718
18/10/2017,23.9766674
19/10/2017,23.45400047
20/10/2017,23.00666618
23/10/2017,22.46800041
24/10/2017,22.4893322
25/10/2017,21.72266769
26/10/2017,21.74466705
27/10/2017,21.39133263
30/10/2017,21.33866692
31/10/2017,22.10199928
1/11/2017,21.40533257
2/11/2017,19.95066643
3/11/2017,20.40600014
6/11/2017,20.18533325
7/11/2017,20.40333366
8/11/2017,20.29266739
9/11/2017,20.19933319
10/11/2017,20.19933319
13/11/2017,21.02666664
14/11/2017,20.57999992
15/11/2017,20.75333214
16/11/2017,20.83333206
17/11/2017,21.00333214
20/11/2017,20.5826664
21/11/2017,21.18733215
22/11/2017,20.84000015
24/11/2017,21.03666687
27/11/2017,21.1206665
28/11/2017,21.17000008
29/11/2017,20.50266647
30/11/2017,20.59000015
1/12/2017,20.43533325
4/12/2017,20.34666634
5/12/2017,20.24666786
6/12/2017,20.88400078
7/12/2017,20.74933243
8/12/2017,21.00866699
11/12/2017,21.92733383
12/12/2017,22.73533249
13/12/2017,22.60199928
14/12/2017,22.52599907
15/12/2017,22.89666748
18/12/2017,22.59133339
19/12/2017,22.07333374
20/12/2017,21.93199921
21/12/2017,22.11066628
22/12/2017,21.68000031
26/12/2017,21.15266609
27/12/2017,20.77599907
28/12/2017,21.02400017
29/12/2017,20.75666618
2/1/2018,21.3686676
3/1/2018,21.14999962
4/1/2018,20.9746666
5/1/2018,21.10533333
8/1/2018,22.42733383
9/1/2018,22.24600029
10/1/2018,22.31999969
11/1/2018,22.53000069
12/1/2018,22.41466713
16/1/2018,22.67066765
17/1/2018,23.1439991
18/1/2018,22.97133255
19/1/2018,23.33466721
22/1/2018,23.43733215
23/1/2018,23.51933289
24/1/2018,23.0593338
25/1/2018,22.50933266
26/1/2018,22.85666656
29/1/2018,23.30200005
30/1/2018,23.05466652
31/1/2018,23.6206665
1/2/2018,23.28333282
2/2/2018,22.91666794
5/2/2018,22.20866776
6/2/2018,22.26466751
7/2/2018,23
8/2/2018,21.01533318
9/2/2018,20.69466782
